data,casos-confirmados,chuva,temperatura-media,temperatura-mininima,temperatura-maxima
1998-01-01,237,179.2,25.7,20.2,28.1
1998-02-01,331,226.3,25.1,20,28
1998-03-01,562,149.1,24.8,22.4,27.2
1998-04-01,187,46.4,22.7,18.1,26
1998-05-01,32,88.3,19.2,15.7,22.9
1998-06-01,11,21.2,18,15.4,21.2
1998-07-01,6,7.9,19,13.5,22.9
1998-08-01,4,15.6,21.7,17,25.7
1998-09-01,7,88.1,21.9,18.9,26.1
1998-10-01,7,167.3,21.9,18.4,24.6
1998-11-01,5,55.4,23.4,20.3,27.3
1998-12-01,8,309.1,24.3,20.6,28.1
1999-01-01,7,420.3,25.1,21.3,28.5
1999-02-01,12,228.1,24.6,22.5,26.3
1999-03-01,27,140.5,24.5,21.8,26.6
1999-04-01,49,48.9,21.6,13,26.6
1999-05-01,8,47.1,18.7,13.6,22.3
1999-06-01,3,70.1,17.8,14.2,21
1999-07-01,1,,19.6,17.1,22.1
1999-08-01,3,,19.8,10.8,24.8
1999-09-01,3,64.3,21.3,15,25.7
1999-10-01,0,36.6,21.5,15,28.2
1999-11-01,0,87.3,21.7,15,26.2
1999-12-01,4,176.5,24,21,27.4
2000-01-01,6,293.8,24.6,21.5,26.9
2000-02-01,11,251.7,24.4,20,26.1
2000-03-01,21,132.6,24,21.5,26.2
2000-04-01,15,0.8,22.4,18,25
2000-05-01,8,3.2,19.6,15.6,24.4
2000-06-01,4,4.9,20,15.6,22.6
2000-07-01,4,83,17.3,8.2,22.1
2000-08-01,3,67.4,20,13,25.7
2000-09-01,0,76.9,21.2,15.5,25.3
2000-10-01,2,60.3,25,20.8,27.8
2000-11-01,2,276.7,23.5,17.6,25.6
2000-12-01,5,216.7,23.9,17.9,26.6
2001-01-01,32,167.7,25,23.2,27.2
2001-02-01,38,316.9,25.3,22.8,26.7
2001-03-01,160,114.1,24.7,21.5,26.4
2001-04-01,223,26.8,23.7,20.8,25.9
2001-05-01,136,89.9,19.3,13.6,25.1
2001-06-01,21,20.2,19,10.6,23
2001-07-01,13,11.4,19.2,12.4,23.4
2001-08-01,10,27.5,20.9,19,23.2
2001-09-01,2,72.2,21.4,14,25.2
2001-10-01,2,251.9,22.4,19.1,26
2001-11-01,5,104.4,24.2,19.8,26.6
2001-12-01,86,203.3,23.6,20.4,26.2
2002-01-01,224,219.9,24.3,20.4,26.6
2002-02-01,364,126.3,23.1,21.3,25.3
2002-03-01,348,117.1,25.4,22.9,27.6
2002-04-01,266,21.9,24.7,22.5,26.3
2002-05-01,156,96.8,21.1,17.2,23.8
2002-06-01,50,,20.9,18.7,22.9
2002-07-01,8,5.3,18.8,12.9,22.2
2002-08-01,9,66.4,22.3,18.3,24.5
2002-09-01,6,49.1,20.9,14.7,25.3
2002-10-01,4,45.2,26.3,21,29.4
2002-11-01,7,232.4,24.3,19.3,28
2002-12-01,22,162.6,25.3,22.5,27.8
2003-01-01,90,385.4,24.5,21.5,28.2
2003-02-01,91,215.3,25.9,21.8,28.3
2003-03-01,125,83.9,24.3,21.7,26.7
2003-04-01,76,62.3,22.9,18.7,25.3
2003-05-01,28,49.3,19.3,14.5,24.1
2003-06-01,7,11.5,20.4,17.9,23
2003-07-01,2,22.1,19.8,15.2,21.9
2003-08-01,0,19.7,19.1,14.1,23.9
2003-09-01,0,20.5,22,16,27.4
2003-10-01,1,86,22.9,17.2,26.7
2003-11-01,0,223.3,23.2,18.9,28.2
2003-12-01,3,299.5,24.5,20.7,28.3
2004-01-01,9,176.2,23.8,19.5,25.9
2004-02-01,8,156.3,23.7,20,27.1
2004-03-01,6,64.1,23.3,20.1,26
2004-04-01,3,47.6,23,19.8,24.8
2004-05-01,1,115.9,18.7,12.9,23.9
2004-06-01,0,58.5,18.2,13.2,22
2004-07-01,0,93.7,17.9,14,21.3
2004-08-01,0,,19.9,14.7,23.8
2004-09-01,0,27.5,24.2,19.5,27.7
2004-10-01,0,201,21.3,14.6,25.7
2004-11-01,0,117.4,23.2,19.3,26.6
2004-12-01,3,177.5,23.7,19.4,26.3
